state_fips_A,county_fips_A,state_fips_B,county_fips_B,B_to_A_migration
009,001,001,031,48
009,001,001,033,25
009,001,001,069,-1
009,001,001,073,8
009,001,001,089,-48
009,001,001,117,-9
009,001,001,125,-22
009,001,004,003,-29
009,001,004,013,-322
009,001,004,019,-40
009,001,005,119,8
009,001,006,001,75
009,001,006,007,-18
009,001,006,013,-162
009,001,006,037,-430
009,001,006,041,61
009,001,006,053,10
009,001,006,055,23
009,001,006,059,-179
009,001,006,065,-86
009,001,006,067,1
009,001,006,071,-32
009,001,006,073,-78
009,001,006,075,39
009,001,006,081,15
009,001,006,085,-263
009,001,006,087,-53
009,001,006,097,-12
009,001,006,099,21
009,001,006,111,41
009,001,008,005,-658
009,001,008,013,-63
009,001,008,031,-31
009,001,008,035,-81
009,001,008,041,-43
009,001,008,069,-11
009,001,008,085,23
009,001,008,097,-9
009,001,008,101,3
009,001,008,103,-6
009,001,009,003,"-1,272"
009,001,009,005,"-1,411"
009,001,009,007,-146
009,001,009,009,"-3,633"
009,001,009,011,-171
009,001,009,013,-527
009,001,009,015,-176
009,001,010,001,-13
009,001,010,003,-28
009,001,010,005,-12
009,001,011,001,-154
009,001,012,001,-5
009,001,012,009,-132
009,001,012,011,-177
009,001,012,015,-31
009,001,012,017,-7
009,001,012,021,-57
009,001,012,027,-7
009,001,012,031,32
009,001,012,035,-12
009,001,012,049,2
009,001,012,053,-52
009,001,012,055,-94
009,001,012,057,114
009,001,012,071,-2
009,001,012,073,49
009,001,012,081,-252
009,001,012,085,-9
009,001,012,086,-254
009,001,012,087,9
009,001,012,093,-6
009,001,012,095,-103
009,001,012,097,-98
009,001,012,099,-625
009,001,012,101,-198
009,001,012,103,-188
009,001,012,105,-377
009,001,012,109,23
009,001,012,111,-10
009,001,012,115,-75
009,001,012,117,-172
009,001,012,127,-72
009,001,013,035,-7
009,001,013,045,-236
009,001,013,053,-6
009,001,013,057,-8
009,001,013,067,126
009,001,013,089,-190
009,001,013,097,-45
009,001,013,117,-18
009,001,013,121,-775
009,001,013,135,3
009,001,013,151,-59
009,001,013,179,17
009,001,015,003,34
009,001,016,083,-256
009,001,016,085,-51
009,001,017,019,7
009,001,017,031,-115
009,001,017,043,-79
009,001,017,097,-44
009,001,017,103,-7
009,001,017,113,9
009,001,017,197,-2
009,001,017,199,7
009,001,017,201,-94
009,001,018,053,-5
009,001,018,081,27
009,001,018,097,-45
009,001,018,105,-62
009,001,018,141,-5
009,001,018,157,-52
009,001,018,177,-10
009,001,019,097,-8
009,001,019,153,-88
009,001,020,091,-35
009,001,020,173,-13
009,001,021,067,-44
009,001,021,117,-59
009,001,021,227,-16
009,001,022,033,7
009,001,022,071,-27
009,001,022,103,17
009,001,023,001,-5
009,001,023,003,-4
009,001,023,005,-22
009,001,023,009,2
009,001,023,011,-53
009,001,023,013,-6
009,001,023,015,-3
009,001,023,019,38
009,001,023,027,-9
009,001,023,031,31
009,001,024,003,-10
009,001,024,005,-39
009,001,024,015,21
009,001,024,021,-9
009,001,024,025,-10
009,001,024,029,-18
009,001,024,031,-126
009,001,024,033,13
009,001,024,043,-43
009,001,024,045,10
009,001,024,510,-35
009,001,025,001,-279
009,001,025,003,26
009,001,025,005,-22
009,001,025,007,-22
009,001,025,009,-30
009,001,025,011,-3
009,001,025,013,113
009,001,025,015,-245
009,001,025,017,-648
009,001,025,019,-65
009,001,025,021,0
009,001,025,023,28
009,001,025,025,-95
009,001,025,027,-167
009,001,026,023,-7
009,001,026,049,28
009,001,026,059,-3
009,001,026,065,-13
009,001,026,081,-8
009,001,026,093,7
009,001,026,099,-26
009,001,026,125,-38
009,001,026,161,-193
009,001,026,163,-42
009,001,027,037,81
009,001,027,053,-253
009,001,027,131,-6
009,001,027,149,-23
009,001,029,095,-30
009,001,029,101,40
009,001,029,189,112
009,001,029,219,-7
009,001,029,510,21
009,001,030,013,-63
009,001,030,031,-7
009,001,030,063,-33
009,001,031,055,-2
009,001,031,109,-37
009,001,032,003,-116
009,001,033,001,-20
009,001,033,003,-56
